,회사코드,회사명,종목코드,사업연도,금융부채,기타포괄손익-공정가치측정금융자산,당기손익-공정가치측정금융자산,보험계약부채,보험계약자산,부채총계,비유동부채,비유동자산,상각후원가측정금융자산,예수부채,유동부채,유동자산,이익잉여금,자본금,자본총계,자산총계,차입부채,파생상품부채,파생상품자산
80,101752,케이씨피드,25880,2016,,,,,,54176468020.0,15756721847.0,54611714379.0,,,38419746173.0,51666667273.0,34948060761.0,,52101913632.0,106278381652.0,,,
81,101752,케이씨피드,25880,2017,,,,,,46889847118.0,6860774836.0,50767314004.0,,,40029072282.0,54743863612.0,41514655058.0,8357929000.0,58621330498.0,105511177616.0,,,
82,101752,케이씨피드,25880,2018,,,,,,45840971127.0,12624594722.0,54001369557.0,,,33216376405.0,51191386137.0,42233080201.0,8357929000.0,59351784567.0,105192755694.0,,,
83,101752,케이씨피드,25880,2019,,,,,,49028191549.0,9690464566.0,49580196023.0,,,39337726983.0,51894550706.0,35362196262.0,8357929000.0,52446555180.0,101474746729.0,,,
84,101752,케이씨피드,25880,2020,,,,,,48201462719.0,13261892235.0,50087503530.0,,,34939570484.0,51321338977.0,36157801386.0,8357929000.0,53207379788.0,101408842507.0,,,
85,101752,케이씨피드,25880,2021,,,,,,37990257319.0,5346959003.0,43577229469.0,,,32643298316.0,51664367194.0,39912277926.0,8357929000.0,57251339344.0,95241596663.0,,,
86,101752,케이씨피드,25880,2022,,,,,,36235746966.0,2327760867.0,46972615186.0,,,33907986099.0,50256101948.0,43629486785.0,8357929000.0,60992970168.0,97228717134.0,,,
87,101752,케이씨피드,25880,2023,,,,,,32449685394.0,2058605908.0,54558992702.0,,,30391079486.0,44107412315.0,48774807665.0,8357929000.0,66216719623.0,98666405017.0,,,
88,102113,경인양행,12610,2015,,,,,,125562133341.0,16251685452.0,150023339121.0,,,109310447889.0,176664097898.0,131887394247.0,,201125303678.0,326687437019.0,,,
89,102113,경인양행,12610,2016,,,,,,136005319053.0,16502862762.0,152889457296.0,,,119502456291.0,191409057909.0,134877937880.0,,208293196152.0,344298515205.0,,,
90,102113,경인양행,12610,2017,,,,,,147016537294.0,22662877011.0,164766728234.0,,,124353660283.0,193184741842.0,136363400974.0,20198182500.0,210934932782.0,357951470076.0,,,
91,102113,경인양행,12610,2018,,,,,,189237206800.0,32312932585.0,178179524852.0,,,156924274215.0,234817064461.0,147638514850.0,20198182500.0,223759382513.0,412996589313.0,,,
92,102113,경인양행,12610,2019,,,,,,234647862562.0,42054256695.0,220196328666.0,,,192593605867.0,251884674495.0,159297908344.0,20393182500.0,237433140599.0,472081003161.0,,,
93,102113,경인양행,12610,2020,,,,,,276720395053.0,60452986496.0,241929643075.0,,,216267408557.0,263172507506.0,147917631611.0,20638182500.0,228381755528.0,505102150581.0,,,
94,102113,경인양행,12610,2021,,,,,,327622550348.0,58410496832.0,253913256341.0,,,269212053516.0,325579208757.0,170037724801.0,20788182500.0,251869914750.0,579492465098.0,,,
95,102113,경인양행,12610,2022,,,,,,282098495707.0,68056486852.0,284648791511.0,,,214042008855.0,263604207552.0,182849513805.0,20808182500.0,266154503356.0,548252999063.0,,,
96,102113,경인양행,12610,2023,,,,,,287262667581.0,52546291567.0,276653905792.0,,,234716376014.0,262302066636.0,169425736829.0,20808182500.0,251693304847.0,538955972428.0,,,
97,102140,경인전자,9140,2015,,,,,,4616825948.0,768320806.0,24982967132.0,,,3848505142.0,39256977255.0,28731290922.0,,59623118439.0,64239944387.0,,,
98,102140,경인전자,9140,2016,,,,,,4554129399.0,284703032.0,17711128580.0,,,4269426367.0,46586630785.0,35713946278.0,,59743629966.0,64297759365.0,,,
