,회사코드,회사명,종목코드,사업연도,당기순이익,당기순이익(손실),매출액,법인세차감전 순이익,순수수료손익,순이자손익,영업비용,영업이익,영업이익(손실),이자비용,이자수익,총포괄손익,파생상품관련손익
122,102432,계룡건설산업,13580,2022,60339311955.0,60339311955.0,2949680250000.0,96536509764.0,,,,132836469827.0,,,,,
123,102432,계룡건설산업,13580,2023,51924199347.0,51924199347.0,2977005044488.0,67539767135.0,,,,100697392316.0,,,,59838427225.0,
124,102618,계양전기,12200,2015,9581186296.0,9581186296.0,293584374834.0,10745513408.0,,,,7103017012.0,,,,,
125,102618,계양전기,12200,2016,17233731189.0,17233731189.0,339878931163.0,20637125987.0,,,,15454981350.0,,,,,
126,102618,계양전기,12200,2017,7746601351.0,7746601351.0,339922485810.0,9677236464.0,,,,11147543193.0,,,,,
127,102618,계양전기,12200,2018,7700773366.0,7700773366.0,365071318132.0,8083158005.0,,,,8616655736.0,,,,,
128,102618,계양전기,12200,2019,-2538604866.0,-2538604866.0,375025411691.0,-4236416879.0,,,,2348037078.0,,,,,
129,102618,계양전기,12200,2020,9385033043.0,9385033043.0,379681389812.0,10854355058.0,,,,3007589451.0,,,,,
130,102618,계양전기,12200,2021,-6211393819.0,-6211393819.0,392290545811.0,-7291832693.0,,,,1796805693.0,,,,,
131,102618,계양전기,12200,2022,-24539071245.0,-24539071245.0,365075103182.0,-29426360818.0,,,,-10631134052.0,,,,,
132,102618,계양전기,12200,2023,-1264724490.0,-1264724490.0,381634129995.0,-2113354329.0,,,,-3894777764.0,,,,-7864739913.0,
133,102751,고려산업,2140,2015,5400030676.0,5400030676.0,185420059331.0,7202892754.0,,,,6761497543.0,,,,,
134,102751,고려산업,2140,2016,6852573362.0,6852573362.0,172279708468.0,9280103700.0,,,,6679283953.0,,,,,
135,102751,고려산업,2140,2017,5070273349.0,5070273349.0,174524412089.0,7889102098.0,,,,5946697386.0,,,,,
136,102751,고려산업,2140,2018,3713061195.0,3713061195.0,158429983655.0,4826168679.0,,,,5809620442.0,,,,,
137,102751,고려산업,2140,2019,4728660727.0,4728660727.0,192457070597.0,6494475693.0,,,,5812227924.0,,,,,
138,102751,고려산업,2140,2020,6765681684.0,6765681684.0,190504557339.0,9336190495.0,,,,9182830145.0,,,,,
139,102751,고려산업,2140,2021,4520564728.0,4520564728.0,213486551495.0,6317392572.0,,,,4862496672.0,,,,,
140,102751,고려산업,2140,2022,417869202.0,417869202.0,278370976022.0,501638097.0,,,,4425326213.0,,,,,
141,102751,고려산업,2140,2023,3135896967.0,3135896967.0,319058618654.0,4529776947.0,,,,7989269786.0,,,,1889201368.0,
142,102760,두산건설,11160,2015,-520745748025.0,-520745748025.0,1805357059375.0,-498379116723.0,,,,-166913340303.0,,,,,
143,102760,두산건설,11160,2016,-357034090345.0,-357034090345.0,1274565797672.0,-238499590146.0,,,,12795014911.0,,,,,
144,102760,두산건설,11160,2017,-184023716514.0,-184023716514.0,1535864082766.0,-134774574885.0,,,,58945890196.0,,,,,
145,102760,두산건설,11160,2018,-551779898127.0,-551779898127.0,1547803760412.0,-529101150176.0,,,,-52151127757.0,,,,,
146,102760,두산건설,11160,2019,-75165936125.0,-75165936125.0,1781925334302.0,-29810008013.0,,,,81028409031.0,,,,,
147,102760,두산건설,11160,2020,-165066393934.0,-165066393934.0,1828660921710.0,-157542474759.0,,,,29996821887.0,,,,,
148,102760,두산건설,11160,2021,7263148591.0,7263148591.0,1398624466971.0,7819443271.0,,,,83321096874.0,,,,,
149,102760,두산건설,11160,2022,-210444243116.0,-210444243116.0,1190565661406.0,-206159169555.0,,,,30109033607.0,,,,,
150,102760,두산건설,11160,2023,-77723948483.0,-77723948483.0,1717496987675.0,-76079640371.0,,,,60907875609.0,,,,-81209019376.0,
151,102858,고려아연,10130,2015,513990324342.0,513990324342.0,4771442958357.0,684519205360.0,,,,672218933053.0,,,,,
152,102858,고려아연,10130,2016,594584342454.0,594584342454.0,5847513111727.0,801691476331.0,,,,764684587877.0,,,,,
153,102858,고려아연,10130,2017,634031142698.0,634031142698.0,6596671356857.0,925732650537.0,,,,894752364239.0,,,,,
154,102858,고려아연,10130,2018,534814939005.0,534814939005.0,6883323139792.0,768730507442.0,,,,764718763710.0,,,,,
155,102858,고려아연,10130,2019,638613351819.0,638613351819.0,6694810889702.0,872402194153.0,,,,805328836892.0,,,,,
