,bsns_year,corp_code,기말의현금,기초의현금,영업활동현금흐름,재무활동현금흐름,투자활동현금흐름
231,2017,00104768,20563948778.0,37957841329.0,-17285661767.0,20770249293.0,-20879766629.0
232,2018,00104768,28569662951.0,20563948778.0,25734086045.0,-12366177250.0,-5355827444.0
233,2019,00104768,6051287601.0,28569662951.0,-11777182538.0,-946318259.0,-9794659503.0
234,2020,00104768,8843984091.0,6051287601.0,6056497259.0,11074992136.0,-14338539894.0
235,2021,00104768,25421488101.0,8843984091.0,-3805452099.0,32054284125.0,-11671327655.0
236,2022,00104768,51678555538.0,25421488101.0,24207164090.0,6281584258.0,-4231680943.0
237,2023,00104768,68093580850.0,51678555538.0,17085632459.0,10777208845.0,-11446948207.0
238,2024,00104768,60021733000.0,68093581000.0,39000408000.0,-21575421000.0,-25496835000.0
239,2015,00128032,3013349870.0,605730795.0,3266855389.0,-10339698263.0,9480461949.0
240,2016,00128032,5665588449.0,3013349870.0,5534399572.0,-132216639.0,-2862244354.0
241,2017,00128032,640992066.0,5665588449.0,3947446180.0,28531445743.0,-37503488306.0
242,2018,00128032,764780114.0,640992066.0,-1441715570.0,19441690554.0,-17876186936.0
243,2019,00128032,11031479154.0,764780114.0,7855471631.0,29063766448.0,-26656586313.0
244,2020,00128032,14850457493.0,11031479154.0,8352586171.0,-3323060310.0,-1213021830.0
245,2021,00128032,1020800944.0,14850457493.0,2656842674.0,31949954608.0,-48437314633.0
246,2022,00128032,387163313.0,1020800944.0,12979860729.0,9655072213.0,-23266335371.0
247,2023,00128032,461196480.0,387163313.0,14074760390.0,10618739913.0,-24616971086.0
248,2024,00128032,4371856807.0,461196480.0,10552721500.0,3896632509.0,-10541093596.0
249,2017,00149026,7353577207.0,4865071029.0,1069485016.0,-573660500.0,1992681662.0
250,2018,00149026,8701182018.0,7353577207.0,2138469773.0,-573660500.0,-217204462.0
251,2019,00149026,19835643620.0,8701182018.0,2393336207.0,-594323000.0,9335448395.0
252,2020,00149026,37273918388.0,19835643620.0,1256171800.0,-622751368.0,16804854336.0
253,2021,00149026,15666724444.0,37273918388.0,2069587258.0,-1342451352.0,-23301722400.0
254,2022,00149026,24833712410.0,15666724444.0,2796665912.0,-1895768377.0,8297971660.0
255,2023,00149026,15337825962.0,24833712410.0,2812855640.0,-2960964430.0,-9310259303.0
256,2024,00149026,12308137449.0,15337825962.0,2460034392.0,-3786711228.0,-1977514643.0
257,2016,00149026,4865071029.0,10029735371.0,-1670887514.0,,-3493776828.0
258,2015,00149026,10029735371.0,11225922711.0,935514638.0,0.0,-2131701978.0
259,2017,00116824,108552114383.0,38980110401.0,47219276913.0,49784604505.0,-25571536648.0
260,2018,00116824,45649553255.0,108552114383.0,20298925015.0,-20156554275.0,-63872067689.0
