회사코드,회사명,종목코드,사업연도,금융상품관련순손익_당기,당기순이익_당기,당기순이익(손실)_당기,매출액_당기,법인세차감전 순이익_당기,순수수료손익_당기,순이자손익_당기,영업비용_당기,영업이익_당기,영업이익(손실)_당기,이자비용_당기,이자수익_당기,총포괄손익_당기,파생상품관련손익_당기,금융상품관련순손익_전기,당기순이익_전기,당기순이익(손실)_전기,매출액_전기,법인세차감전 순이익_전기,순수수료손익_전기,순이자손익_전기,영업비용_전기,영업이익_전기,영업이익(손실)_전기,이자비용_전기,이자수익_전기,총포괄손익_전기,파생상품관련손익_전기
101488,경동나비엔,9450,2022,,43696302615.0,43696302615.0,979557977739.0,61301044684.0,,,,58702662071.0,,,,,,,62278873056.0,62278873056.0,951116272454.0,80240634098.0,,,,46249998506.0,,,,,
101488,경동나비엔,9450,2023,,46331095297.0,46331095297.0,995055167584.0,59959204409.0,,,,56299546067.0,,,,42060314478.0,,,43696302615.0,43696302615.0,979557977739.0,61301044684.0,,,,58702662071.0,,,,52751458436.0,
101549,경동제약,11040,2015,,13717807567.0,13717807567.0,149325680961.0,21292072841.0,,,,25722758181.0,,,,,,,24960169920.0,24960169920.0,152237085914.0,34388034361.0,,,,35192369251.0,,,,,
101549,경동제약,11040,2016,,16851776233.0,16851776233.0,157010995434.0,24882659933.0,,,,23506384916.0,,,,,,,13717807567.0,13717807567.0,149325680961.0,21292072841.0,,,,25722758181.0,,,,,
101549,경동제약,11040,2017,,20164400105.0,20164400105.0,175565924605.0,30165797251.0,,,,31236533630.0,,,,,,,16851776233.0,16851776233.0,157010995434.0,24882659933.0,,,,23506384916.0,,,,,
101549,경동제약,11040,2018,,3486970616.0,3486970616.0,175237279251.0,18392436605.0,,,,24912750050.0,,,,,,,20164400105.0,20164400105.0,175565924605.0,30165797251.0,,,,31236533630.0,,,,,
101549,경동제약,11040,2019,,19940390099.0,19940390099.0,175990627373.0,30749328936.0,,,,26725148342.0,,,,,,,3486970616.0,3486970616.0,175237279251.0,18392436605.0,,,,24912750050.0,,,,,
101549,경동제약,11040,2020,,13618439349.0,13618439349.0,171997679040.0,20493479053.0,,,,19097202567.0,,,,,,,19940390099.0,19940390099.0,175990627373.0,30749328936.0,,,,26725148342.0,,,,,
101549,경동제약,11040,2021,,12448658649.0,12448658649.0,173021416571.0,18229968814.0,,,,15522058953.0,,,,,,,13618439349.0,13618439349.0,171997679040.0,20493479053.0,,,,19097202567.0,,,,,
101549,경동제약,11040,2022,,3883522792.0,3883522792.0,179317305843.0,7293488915.0,,,,9121970668.0,,,,,,,12448658649.0,12448658649.0,173021416571.0,18229968814.0,,,,15522058953.0,,,,,
