,회사코드,회사명,종목코드,사업연도,기타포괄손익-공정가치측정금융자산,당기손익-공정가치측정금융자산,보험계약부채,보험계약자산,부채총계,비유동부채,비유동자산,상각후원가측정금융자산,예수부채,유동부채,유동자산,이익잉여금,자본금,자본총계,자산총계,차입부채,파생상품부채,파생상품자산
77,101549,경동제약,11040,2023,,,,,64277953715.0,5251035267.0,207406005203.0,,,59026918448.0,84232134208.0,195943817333.0,15684383000.0,227360185696.0,291638139411.0,,,
78,101628,경방,50,2015,,,,,587741479333.0,443825602187.0,1175752271361.0,,,143915877146.0,83760073026.0,658295947612.0,,671770865054.0,1259512344387.0,,,
79,101628,경방,50,2016,,,,,546778843638.0,426137362192.0,1156485470863.0,,,120641481446.0,80538916944.0,676787816444.0,,690245544169.0,1237024387807.0,,,
80,101628,경방,50,2017,,,,,488098740296.0,238763826245.0,1127591072954.0,,,249334914051.0,71472590490.0,697532447200.0,13707635000.0,710964923148.0,1199063663444.0,,,
81,101628,경방,50,2018,,,,,497359673062.0,394471067860.0,1138385813705.0,,,102888605202.0,88159568374.0,721795950156.0,13707635000.0,729185709017.0,1226545382079.0,,,
82,101628,경방,50,2019,,,,,555533557747.0,405007759252.0,1072466553453.0,,,150525798495.0,223798877643.0,739385681708.0,13707635000.0,740731873349.0,1296265431096.0,,,
83,101628,경방,50,2020,,,,,452923943274.0,230353533285.0,1145139850925.0,,,222570409989.0,67253982987.0,762095096048.0,13707635000.0,759469890638.0,1212393833912.0,,,
84,101628,경방,50,2021,,,,,447474369561.0,284140919355.0,1147416467386.0,,,163333450206.0,66773086436.0,782149131208.0,13707635000.0,766715184261.0,1214189553822.0,,,
85,101628,경방,50,2022,,,,,381035225633.0,291401412837.0,1088278742949.0,,,89633812796.0,51942911435.0,776448737155.0,13707635000.0,759186428751.0,1140221654384.0,,,
86,101628,경방,50,2023,,,,,372209166612.0,181282632279.0,1048201596816.0,,,190926534333.0,76098398577.0,769395732645.0,13707635000.0,752090828781.0,1124299995393.0,,,
87,101664,경보제약,214390,2015,,,,,72671306690.0,8129115993.0,90380327605.0,,,64542190697.0,105108129651.0,70137654801.0,,122817150566.0,195488457256.0,,,
88,101664,경보제약,214390,2016,,,,,74333640299.0,1616810481.0,101509059329.0,,,72716829818.0,102226920481.0,77090267495.0,,129402339511.0,203735979810.0,,,
89,101664,경보제약,214390,2017,,,,,63359802696.0,2980407219.0,94231359890.0,,,60379395477.0,110638038828.0,90122029413.0,11953430000.0,141509596022.0,204869398718.0,,,
90,101664,경보제약,214390,2018,,,,,72610827636.0,3292962808.0,92686677389.0,,,69317864828.0,128936315458.0,97110586327.0,11953430000.0,149012165211.0,221622992847.0,,,
91,101664,경보제약,214390,2019,,,,,88653237210.0,4838285496.0,113640251226.0,,,83814951714.0,124176490290.0,97311975088.0,11953430000.0,149163504306.0,237816741516.0,,,
92,101664,경보제약,214390,2020,,,,,97182382658.0,3418825571.0,115046684478.0,,,93763557087.0,138192492054.0,104207442235.0,11953430000.0,156056793874.0,253239176532.0,,,
93,101664,경보제약,214390,2021,,,,,91278422862.0,2464266519.0,125812831912.0,,,88814156343.0,111166321432.0,94587472724.0,11953430000.0,145700730482.0,236979153344.0,,,
94,101664,경보제약,214390,2022,,,,,96840886918.0,1271881102.0,124219292525.0,,,95569005816.0,116325649599.0,94695438362.0,11953430000.0,143704055206.0,240544942124.0,,,
95,101664,경보제약,214390,2023,,,,,121923595684.0,3662334413.0,130402846248.0,,,118261261271.0,135902170665.0,96032570005.0,11953430000.0,144381421229.0,266305016913.0,,,
96,101752,케이씨피드,25880,2015,,,,,39477180773.0,5650266390.0,49920110909.0,,,33826914383.0,39117644286.0,40765253954.0,,49560574422.0,89037755195.0,,,
97,101752,케이씨피드,25880,2016,,,,,40501290141.0,4884913927.0,47992865606.0,,,35616376214.0,50369116540.0,40995926982.0,,57860692005.0,98361982146.0,,,
