corp_name,bsns_year,부채총계,비유동자산,유동자산,자본총계,자산총계
DGI,2015,20461393811.0,21305127174.0,20295767419.0,21139500782.0,41600894593.0
DGI,2016,11231047395.0,12673019547.0,12899845152.0,14341817304.0,25572864699.0
DGI,2017,10740876230.0,12541733326.0,15367546611.0,17168403707.0,27909279937.0
DGI,2018,5779552952.0,6537461785.0,14058952699.0,14816861532.0,20596414484.0
DGI,2019,12176675230.0,8642675058.0,13364642030.0,9830641858.0,22007317088.0
DGI,2020,25755058185.0,11276284153.0,33047425091.0,19188614999.0,44943673184.0
DGI,2021,14995683500.0,5707735211.0,18282579591.0,8994631302.0,23990314802.0
DGI,2022,4398191718.0,5174695935.0,17894193687.0,18670697904.0,23068889622.0
DGP,2015,4788786032.0,13954280037.0,5373357034.0,14538851039.0,19327637071.0
DGP,2016,12709290050.0,10775675061.0,13505939032.0,11572324043.0,24281614093.0
DGP,2017,15727462592.0,10278338414.0,19468512226.0,14019388048.0,29746850640.0
DGP,2018,22386391863.0,28125887448.0,10019589429.0,15759085014.0,38145476877.0
DGP,2019,23836458120.0,37196103582.0,9973818160.0,23333463622.0,47169921742.0
DGP,2020,40040507884.0,50562215379.0,25318189140.0,35839896635.0,75880404519.0
DGP,2021,64206901741.0,70009537531.0,36023759030.0,41826394820.0,106033296561.0
DGP,2022,37725726356.0,38261997947.0,32308619705.0,32844891296.0,70570617652.0
DH오토넥스,2015,677878811259.0,502486861401.0,281985194176.0,106593244318.0,784472055577.0
DH오토넥스,2016,825278445251.0,604607738693.0,340555790712.0,119885084154.0,945163529405.0
DH오토넥스,2017,824721730490.0,551244391243.0,394730371990.0,121253032743.0,945974763233.0
DH오토넥스,2018,862959018083.0,594286040254.0,406642218423.0,137969240594.0,1000928258677.0
DH오토넥스,2019,927815166853.0,239315749789.0,141965850345.0,159431177984.0,1087246344837.0
DH오토넥스,2020,352222461499.0,274012185048.0,199202041552.0,120991765101.0,473214226600.0
DH오토넥스,2021,455486600368.0,274659763256.0,319733925042.0,138907087930.0,594393688298.0
DH오토넥스,2022,431957816260.0,288594103812.0,244993953070.0,111252460593.0,543210276853.0
DH오토웨어,2015,88986777793.0,58574171900.0,58471368592.0,28058762699.0,117045540492.0
DH오토웨어,2016,67918596591.0,58276269655.0,58837174613.0,49194847677.0,117113444268.0
DH오토웨어,2017,60053459916.0,53362244455.0,53488221607.0,46797006146.0,106850466062.0
DH오토웨어,2018,66792206510.0,55449730348.0,54378498057.0,43036021895.0,109828228405.0
DH오토웨어,2019,72479665704.0,58767185671.0,51775484589.0,38063004556.0,110542670260.0
DH오토웨어,2020,77379402381.0,58305150997.0,57562023774.0,38487772390.0,115867174771.0
DH오토웨어,2021,93943198911.0,57785253808.0,70622068690.0,34464123587.0,128407322498.0
DH오토웨어,2022,82875662902.0,56961674624.0,87987858100.0,62073869822.0,144949532724.0
DKME,2015,212173072730.0,100097177416.0,176346292020.0,64270396706.0,276443469436.0
DKME,2016,179288853607.0,86968434746.0,148976773169.0,56656354308.0,235945207915.0
DKME,2017,128869891740.0,89866659462.0,114821365153.0,75818132875.0,204688024615.0
DKME,2018,127664955272.0,100315341338.0,96950418454.0,69600804520.0,197265759792.0
DKME,2019,119240656535.0,82304486901.0,134715654642.0,97779485008.0,217020141543.0
DKME,2020,90342468342.0,79290536113.0,118418308939.0,107366376710.0,197708845052.0
DKME,2021,67845866319.0,72088362635.0,93777741564.0,98020237880.0,165866104199.0
DKME,2022,82860308311.0,61790542104.0,130896715204.0,109826948997.0,192687257308.0
DL,2015,7259124556784.0,4887604618527.0,7177289251328.0,4805769313071.0,12064893869855.0
DL,2016,7246135122451.0,5895565843862.0,6495943351599.0,5145374073010.0,12391509195461.0
DL,2017,7708148417254.0,6674760761553.0,6727694114720.0,5694306459019.0,13402454876273.0
DL,2018,6783472629934.0,6467068171071.0,6366648560495.0,6050244101632.0,12833716731566.0
DL,2019,6708517368302.0,6705541228108.0,6739682949664.0,6736706809470.0,13445224177772.0
DL,2020,10690535919843.0,4574042445493.0,9327817394762.0,3211323920412.0,13901859840255.0
DL,2021,3793988663859.0,5667983448730.0,2512731845125.0,4386726629996.0,8180715293855.0
DL,2022,7401228917375.0,9016249476303.0,3002744413405.0,4617764972333.0,12018993889708.0
DMS,2015,140789700777.0,117261479786.0,114764816258.0,91236595267.0,232026296044.0
DMS,2016,136598084759.0,155129104224.0,113204497543.0,131735517008.0,268333601767.0
DMS,2017,163302326160.0,148955263351.0,149549936171.0,135202873362.0,298505199522.0
DMS,2018,165835271862.0,157374726270.0,159939971787.0,151479426195.0,317314698057.0
DMS,2019,136508949172.0,167997325922.0,134517297914.0,166005674664.0,302514623836.0
DMS,2020,142890440419.0,160989908763.0,225495272014.0,243594740358.0,386485180777.0
DMS,2021,135689125629.0,166156658977.0,254321460179.0,284788993527.0,420478119156.0
DMS,2022,96104848580.0,149667507981.0,276666474078.0,330229133479.0,426333982059.0
DN오토모티브,2015,339060524784.0,599122730346.0,465383551507.0,725445757069.0,1064506281853.0
DN오토모티브,2016,325069654925.0,640919421819.0,474620148743.0,790469915637.0,1115539570562.0
DN오토모티브,2017,265832535321.0,390803323169.0,387821769453.0,512792557301.0,778625092622.0
DN오토모티브,2018,307231005013.0,416077198556.0,454682427149.0,563528620692.0,870759625705.0
DN오토모티브,2019,285645034477.0,479864566364.0,431881632793.0,626101164680.0,911746199157.0
DN오토모티브,2020,307077824011.0,485623009976.0,476131998056.0,654677184021.0,961755008032.0
DN오토모티브,2021,770989552036.0,407889199830.0,1077073232833.0,713972880627.0,1484962432663.0
DN오토모티브,2022,3460082191971.0,2815940292218.0,1775650459528.0,1131508559775.0,4591590751746.0
DRB동일,2015,253964151020.0,304276132733.0,334806962922.0,385118944635.0,639083095655.0
DRB동일,2016,270797493633.0,357080257192.0,344126570670.0,430409334229.0,701206827862.0
