,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),비유동자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),자본금(*)(IFRS)(천원),이익잉여금(결손금)(*)(IFRS)(천원),부채(*)(IFRS)(천원),비유동부채 (*)(IFRS)(천원),유동부채(*)(IFRS)(천원),현금및현금성자산(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),기초 현금및현금성자산(IFRS)(천원),기말 현금및현금성자산(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출총이익(손실)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),매출원가(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),재고자산(*)(IFRS)(천원),매출채권(IFRS)(천원),매출채권 및 기타유동채권(*)(IFRS)(천원),상장폐지일
17657,비비씨(주),318410 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,
17658,비비씨(주),318410 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
17659,비비씨(주),318410 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
17665,비씨엔씨(주),146320 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
17666,비씨엔씨(주),146320 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
17667,비씨엔씨(주),146320 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,
17668,비씨엔씨(주),146320 ,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,
17735,산일전기(주),062040 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,
17736,산일전기(주),062040 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,
17737,산일전기(주),062040 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,
17738,산일전기(주),062040 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
17739,산일전기(주),062040 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
17740,산일전기(주),062040 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,
17741,산일전기(주),062040 ,2020/12,,,,,,,,,,,,,,,,,,,,,,,,,
17742,산일전기(주),062040 ,2021/12,,,,,,,,,,,,,,,,,,,,,,,,,
17743,산일전기(주),062040 ,2022/12,,,,,,,,,,,,,,,,,,,,,,,,,
18139,상신전자(주),263810 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,
18277,선샤인푸드(주),217620 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,
18278,선샤인푸드(주),217620 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,
18286,선진뷰티사이언스(주),086710 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,
18287,선진뷰티사이언스(주),086710 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,
18288,선진뷰티사이언스(주),086710 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,
18289,선진뷰티사이언스(주),086710 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
18290,선진뷰티사이언스(주),086710 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
18336,성일하이텍(주),365340 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,
18337,성일하이텍(주),365340 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,
18338,성일하이텍(주),365340 ,2019/12,,,,,,,,,,,,,,,,,,,,,,,,,
18407,세신버팔로(주),110660 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,2018/10/11
18408,세신버팔로(주),110660 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,2018/10/11
18409,세신버팔로(주),110660 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,2018/10/11
18410,세신버팔로(주),110660 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,2018/10/11
18421,세종머티리얼즈(주),135270 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,2019/10/02
18422,세종머티리얼즈(주),135270 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,2019/10/02
18423,세종머티리얼즈(주),135270 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,2019/10/02
18424,세종머티리얼즈(주),135270 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,2019/10/02
18425,세종머티리얼즈(주),135270 ,2018/12,,,,,,,,,,,,,,,,,,,,,,,,,2019/10/02
18446,소프트캠프(주),210610 ,2014/12,,,,,,,,,,,,,,,,,,,,,,,,,2019/12/30
18447,소프트캠프(주),210610 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,2019/12/30
