,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),비유동자산(*)(IFRS)(천원),유동자산(*)(IFRS)(천원),자본(*)(IFRS)(천원),자본금(*)(IFRS)(천원),이익잉여금(결손금)(*)(IFRS)(천원),부채(*)(IFRS)(천원),비유동부채 (*)(IFRS)(천원),유동부채(*)(IFRS)(천원),현금및현금성자산(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),투자활동으로 인한 현금흐름(*)(IFRS)(천원),재무활동으로 인한 현금흐름(*)(IFRS)(천원),기초 현금및현금성자산(IFRS)(천원),기말 현금및현금성자산(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출총이익(손실)(IFRS)(천원),판매비와 관리비(물류원가 등 포함)(*)(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),매출원가(*)(IFRS)(천원),당기순이익(손실)(IFRS)(천원),재고자산(*)(IFRS)(천원),매출채권(IFRS)(천원),매출채권 및 기타유동채권(*)(IFRS)(천원),상장폐지일
14434,(주)한국테크놀로지,053590 ,2020/12,58040477.0,31571535.0,26468942.0,13485299.0,53030622.0,-46034842.0,44555178.0,2318886.0,42236292.0,44528.0,-29059667.0,-7292764.0,35173766.0,1223193.0,44528.0,22131731.0,-1287007.0,16864953.0,-18151960.0,23418738.0,-25202205.0,12640756.0,8236944.0,4432784.0,2024/10/07
14435,(주)한국테크놀로지,053590 ,2021/12,38556041.0,27824444.0,10731597.0,1913366.0,61998244.0,-60789686.0,36642675.0,2579189.0,34063486.0,790987.0,-3131387.0,-3626779.0,7504613.0,44528.0,790987.0,15171891.0,-3425677.0,9307389.0,-12733066.0,18597569.0,-26588622.0,200582.0,7946158.0,3339781.0,2024/10/07
14436,(주)한국테크놀로지,053590 ,2022/12,77980398.0,57426664.0,20553734.0,47126693.0,78589407.0,-62790855.0,30853706.0,1896827.0,28956879.0,140958.0,-7761035.0,3612325.0,3498600.0,790987.0,140958.0,1284748.0,16409.0,7022596.0,-7006186.0,1268339.0,-8581401.0,24803.0,7155040.0,6615428.0,2024/10/07
14437,(주)한국테크놀로지,053590 ,2023/12,28013568.0,5543111.0,22470456.0,-6358724.0,78589407.0,-89264801.0,34372292.0,1784849.0,32587443.0,72873.0,-614817.0,852496.0,-305764.0,140958.0,72873.0,69333.0,51401.0,2022093.0,-1970692.0,17932.0,-26381725.0,24803.0,2809108.0,5958164.0,2024/10/07
14598,(주)한송네오텍,226440 ,2015/12,,,,,,,,,,,,,,,,,,,,,,,,,2025/06/18
14599,(주)한송네오텍,226440 ,2016/12,,,,,,,,,,,,,,,,,,,,,,,,,2025/06/18
14600,(주)한송네오텍,226440 ,2017/12,,,,,,,,,,,,,,,,,,,,,,,,,2025/06/18
14601,(주)한송네오텍,226440 ,2018/12,25502435.0,4783696.0,20718739.0,16674261.0,3820101.0,6092604.0,8828174.0,698736.0,8129439.0,4230737.0,942280.0,7049564.0,-7990629.0,4243450.0,4230737.0,38337462.0,7332205.0,5745530.0,1586675.0,31005257.0,-2789490.0,4061339.0,6384269.0,5748697.0,2025/06/18
14602,(주)한송네오텍,226440 ,2019/12,38668165.0,6390028.0,32278137.0,19212171.0,4002054.0,6443108.0,19455994.0,358713.0,19097281.0,8534642.0,-869711.0,-8530082.0,13789515.0,4230737.0,8534642.0,21519923.0,4712347.0,3886760.0,825588.0,16807575.0,350504.0,3081910.0,5937570.0,5406978.0,2025/06/18
14603,(주)한송네오텍,226440 ,2020/12,48225407.0,18016791.0,30208615.0,36713234.0,5380554.0,5956998.0,11512173.0,268001.0,11244171.0,3203044.0,-8046314.0,1534064.0,1238934.0,8534642.0,3203044.0,19347175.0,4245987.0,3817036.0,428951.0,15101188.0,-575723.0,9480322.0,8116329.0,10306023.0,2025/06/18
14604,(주)한송네오텍,226440 ,2021/12,81854484.0,50643851.0,31210634.0,42059229.0,5768862.0,4593879.0,39795256.0,10618091.0,29177165.0,3341391.0,7986068.0,-37476526.0,29628977.0,3203044.0,3341392.0,26287627.0,5678510.0,5181130.0,497380.0,20609117.0,-1363119.0,10919557.0,4240754.0,5273114.0,2025/06/18
14605,(주)한송네오텍,226440 ,2022/12,48555694.0,37623351.0,10932343.0,24894087.0,5909678.0,-14464236.0,23661607.0,12216347.0,11445260.0,380389.0,2195737.0,-4139766.0,-1013539.0,3341392.0,380389.0,24710552.0,-1588129.0,7564878.0,-9153007.0,26298682.0,-19058115.0,2245327.0,3414645.0,3233720.0,2025/06/18
14606,(주)한송네오텍,226440 ,2023/12,23774512.0,13760186.0,10014327.0,16376754.0,6573919.0,-30273322.0,7397758.0,2206153.0,5191605.0,798643.0,-6913246.0,22795002.0,-15463191.0,380389.0,798643.0,9359425.0,-2090697.0,6819256.0,-8909952.0,11450122.0,-15809087.0,1419210.0,4458877.0,4522638.0,2025/06/18
14615,(주)한울비앤씨,214870 ,2014/12,32094356.0,10529079.0,21565277.0,18442330.0,1100000.0,17342330.0,13652026.0,1871440.0,11780586.0,4286200.0,3952708.0,-1003626.0,-1184466.0,2521470.0,4286200.0,66063451.0,9062231.0,5324142.0,3738090.0,57001220.0,2664103.0,6394673.0,10130642.0,10179675.0,2025/03/31
14616,(주)한울비앤씨,214870 ,2015/12,41785986.0,10345357.0,31440629.0,35192972.0,2963957.0,20711080.0,6593014.0,1679879.0,4913134.0,11407878.0,-23902.0,-3534316.0,10676876.0,4286200.0,11407878.0,73464989.0,9426475.0,5354846.0,4071630.0,64038514.0,3368750.0,10119614.0,6760672.0,6801698.0,2025/03/31
14617,(주)한울비앤씨,214870 ,2016/12,44541663.0,11777256.0,32764407.0,33809930.0,2963957.0,19321074.0,10731733.0,2856076.0,7875657.0,5547673.0,2166671.0,-10583938.0,2555776.0,11407878.0,5547673.0,32877051.0,2289086.0,4984532.0,-2695446.0,30587965.0,-1089110.0,6587935.0,8212543.0,8468343.0,2025/03/31
14618,(주)한울비앤씨,214870 ,2017/12,73353796.0,12463630.0,60890167.0,37841680.0,3520088.0,10205674.0,35512116.0,22329871.0,13182245.0,37268278.0,-3404014.0,-4754385.0,39991318.0,5547673.0,37268278.0,30603266.0,226067.0,6212530.0,-5986463.0,30377199.0,-9115400.0,5866790.0,4226713.0,4724834.0,2025/03/31
14619,(주)한울비앤씨,214870 ,2018/12,58643750.0,13726077.0,44917673.0,31782797.0,7277704.0,1836029.0,26860953.0,454268.0,26406684.0,13731381.0,-2716594.0,-15401287.0,-5458529.0,37268278.0,13731381.0,18563223.0,-51413.0,4975856.0,-5027269.0,18614636.0,-8369645.0,3716363.0,3590912.0,3956826.0,2025/03/31
14620,(주)한울비앤씨,214870 ,2019/12,120130164.0,38315402.0,81814762.0,69081814.0,12390326.0,2034129.0,51048350.0,5136832.0,45911517.0,35502861.0,-32411590.0,2658396.0,51563696.0,13731381.0,35502861.0,95819852.0,26554593.0,24346969.0,2207625.0,69265259.0,198387.0,18352523.0,25584302.0,25888141.0,2025/03/31
14621,(주)한울비앤씨,214870 ,2020/12,140163030.0,27776983.0,112386047.0,77153585.0,14614594.0,-9597110.0,63009445.0,5664694.0,57344751.0,40940402.0,-18059196.0,-11830721.0,35563794.0,35502861.0,40940402.0,54314610.0,9206243.0,15459146.0,-6252903.0,45108368.0,-11631239.0,9396648.0,23666796.0,37095644.0,2025/03/31
14622,(주)한울비앤씨,214870 ,2021/12,134695920.0,35001665.0,99694256.0,58473425.0,15477181.0,-45103951.0,76222495.0,4065775.0,72156720.0,30222097.0,14612255.0,-34473395.0,8961166.0,40940402.0,30222097.0,25229640.0,2344988.0,12277244.0,-9932256.0,22884652.0,-35506841.0,772023.0,8332336.0,8992984.0,2025/03/31
14623,(주)한울비앤씨,214870 ,2022/12,61655126.0,48533098.0,13122028.0,17962725.0,16553717.0,-104746969.0,43692401.0,1192333.0,42500068.0,3707749.0,6441423.0,-31068313.0,-1887457.0,30222097.0,3707749.0,11655524.0,3285461.0,12915744.0,-9630283.0,8370063.0,-61679169.0,0.0,3701395.0,1295311.0,2025/03/31
14624,(주)한울비앤씨,214870 ,2023/12,65906789.0,49325034.0,16581756.0,20297208.0,16563053.0,-102172239.0,45609581.0,356564.0,45253017.0,205766.0,-892653.0,4921480.0,-7530810.0,3707749.0,205766.0,3936036.0,203057.0,3411126.0,-3208069.0,3732979.0,2574730.0,73035.0,2225251.0,12138545.0,2025/03/31
14693,(주)한진피앤씨,061460 ,2014/12,120596288.0,95434251.0,25162037.0,46336474.0,40237445.0,-68172074.0,74259814.0,7131356.0,67128458.0,6688989.0,-2162240.0,-4507151.0,5109443.0,8248837.0,6688989.0,79215835.0,9246107.0,6454292.0,2791814.0,69969728.0,1350657.0,6252687.0,20176142.0,9884545.0,2017/09/29
14694,(주)한진피앤씨,061460 ,2015/12,122079823.0,97888251.0,24191572.0,51835267.0,41231479.0,-66592199.0,70244556.0,11281236.0,58963320.0,4163715.0,11439754.0,-5919880.0,-8047386.0,6688989.0,4163715.0,79727795.0,10995894.0,5969243.0,5026651.0,68731901.0,1579875.0,7050292.0,12768363.0,11837645.0,2017/09/29
14695,(주)한진피앤씨,061460 ,2016/12,123260928.0,96226337.0,27034590.0,64177756.0,41977005.0,-56860034.0,59083172.0,2432724.0,56650449.0,1910758.0,2224274.0,-3475431.0,-1004527.0,4163715.0,1910758.0,91204420.0,12734323.0,5921488.0,6812835.0,78470097.0,9732165.0,7167741.0,18332803.0,17580216.0,2017/09/29
14696,(주)한진해운,117930 ,2014/12,8083495223.0,6606077983.0,1477417240.0,756576398.0,1226320470.0,-2215421032.0,7326918825.0,2363829351.0,4963089474.0,386488470.0,444981066.0,514685927.0,-993133673.0,387378514.0,386488470.0,8438458670.0,193316347.0,214495609.0,-21179262.0,8245142323.0,-463475802.0,191380457.0,590293019.0,695019002.0,2017/03/07
14697,(주)한진해운,117930 ,2015/12,7385216722.0,6424960014.0,960256708.0,805687560.0,1226349735.0,-2250872940.0,6579529162.0,2542685858.0,4036843304.0,184563300.0,448665732.0,446989719.0,-1091961518.0,386488470.0,184563300.0,7669598388.0,167023114.0,145589944.0,21433170.0,7502575274.0,-22016122.0,117152452.0,420143620.0,518359256.0,2017/03/07
14738,(주)한컴지엠디,077280 ,2014/12,68589223.0,49363213.0,19226011.0,34440930.0,5348125.0,-7784129.0,34148293.0,17147933.0,17000360.0,709716.0,1402785.0,2406787.0,-3212042.0,92394.0,709716.0,20791732.0,3344530.0,3218979.0,125550.0,17447202.0,-6726601.0,0.0,4002908.0,6408594.0,2020/01/16
14739,(주)한컴지엠디,077280 ,2015/12,68904181.0,51233256.0,17670925.0,35595499.0,5348125.0,-8592802.0,33308683.0,19376442.0,13932241.0,6450727.0,12466503.0,-1892312.0,-4818588.0,709716.0,6450727.0,8216549.0,4009874.0,3723187.0,286687.0,4206675.0,-565888.0,0.0,1470672.0,4027171.0,2020/01/16
14740,(주)한컴지엠디,077280 ,2016/12,62390235.0,49843478.0,12546757.0,36458714.0,5615648.0,-8792404.0,25931521.0,16058570.0,9872951.0,4345904.0,2639301.0,1996040.0,-6793517.0,6450727.0,4345904.0,7588653.0,4709703.0,4021447.0,688256.0,2878950.0,-199602.0,0.0,1268484.0,3153098.0,2020/01/16
14741,(주)한컴지엠디,077280 ,2017/12,61187491.0,48288218.0,12899273.0,37749709.0,5695904.0,-7835195.0,23437782.0,13231032.0,10206751.0,5210128.0,3582174.0,467642.0,-3139523.0,4345904.0,5210128.0,9025876.0,5723657.0,4636139.0,1087518.0,3302219.0,957209.0,0.0,1180909.0,2603856.0,2020/01/16
14742,(주)한컴지엠디,077280 ,2018/12,60858129.0,48138047.0,12720081.0,40524192.0,5883170.0,-5767321.0,20333937.0,17710295.0,2623642.0,5742551.0,2400596.0,67018.0,-2006755.0,5210128.0,5742551.0,10534231.0,6799712.0,4907559.0,1892153.0,3734519.0,2067874.0,0.0,1372410.0,2839815.0,2020/01/16
14772,(주)한프,066110 ,2014/12,56779224.0,37007632.0,19771592.0,4013475.0,7650000.0,-18218565.0,52765749.0,2159534.0,50606216.0,240365.0,1801317.0,167805.0,-1982266.0,250787.0,240365.0,29402081.0,-1529086.0,5717053.0,-7246139.0,30931167.0,-11384840.0,6482690.0,16256487.0,12779608.0,2022/04/06
